"pos_num","URI","URL","pub_date","update_date","section","subsection","byline","type","keywords"
1,"nyt://article/e24deff7-06c2-56cb-81e0-a2320f9c5b2e","https://www.nytimes.com/2024/03/21/us/trump-pence-jan-6-white-house-valet.html","2024-03-21","2024-03-22 09:10:36","U.S.","","By Luke Broadwater and Maggie Haberman","Article","United States Politics and Government"
1,"nyt://article/e24deff7-06c2-56cb-81e0-a2320f9c5b2e","https://www.nytimes.com/2024/03/21/us/trump-pence-jan-6-white-house-valet.html","2024-03-21","2024-03-22 09:10:36","U.S.","","By Luke Broadwater and Maggie Haberman","Article","Storming of the US Capitol (Jan, 2021)"
1,"nyt://article/e24deff7-06c2-56cb-81e0-a2320f9c5b2e","https://www.nytimes.com/2024/03/21/us/trump-pence-jan-6-white-house-valet.html","2024-03-21","2024-03-22 09:10:36","U.S.","","By Luke Broadwater and Maggie Haberman","Article","Trump, Donald J"
1,"nyt://article/e24deff7-06c2-56cb-81e0-a2320f9c5b2e","https://www.nytimes.com/2024/03/21/us/trump-pence-jan-6-white-house-valet.html","2024-03-21","2024-03-22 09:10:36","U.S.","","By Luke Broadwater and Maggie Haberman","Article","Pence, Mike"
1,"nyt://article/e24deff7-06c2-56cb-81e0-a2320f9c5b2e","https://www.nytimes.com/2024/03/21/us/trump-pence-jan-6-white-house-valet.html","2024-03-21","2024-03-22 09:10:36","U.S.","","By Luke Broadwater and Maggie Haberman","Article","House Select Committee to Investigate the January 6th Attack"
1,"nyt://article/e24deff7-06c2-56cb-81e0-a2320f9c5b2e","https://www.nytimes.com/2024/03/21/us/trump-pence-jan-6-white-house-valet.html","2024-03-21","2024-03-22 09:10:36","U.S.","","By Luke Broadwater and Maggie Haberman","Article","Republican Party"
1,"nyt://article/e24deff7-06c2-56cb-81e0-a2320f9c5b2e","https://www.nytimes.com/2024/03/21/us/trump-pence-jan-6-white-house-valet.html","2024-03-21","2024-03-22 09:10:36","U.S.","","By Luke Broadwater and Maggie Haberman","Article","House of Representatives"
2,"nyt://article/9cf84dbf-a5a2-523d-b1db-dbc31adfee29","https://www.nytimes.com/2024/03/17/nyregion/brooklyn-subway-shooting-video.html","2024-03-17","2024-03-19 08:31:43","New York","","By Michael Wilson","Article","Subways"
2,"nyt://article/9cf84dbf-a5a2-523d-b1db-dbc31adfee29","https://www.nytimes.com/2024/03/17/nyregion/brooklyn-subway-shooting-video.html","2024-03-17","2024-03-19 08:31:43","New York","","By Michael Wilson","Article","Video Recordings, Downloads and Streaming"
2,"nyt://article/9cf84dbf-a5a2-523d-b1db-dbc31adfee29","https://www.nytimes.com/2024/03/17/nyregion/brooklyn-subway-shooting-video.html","2024-03-17","2024-03-19 08:31:43","New York","","By Michael Wilson","Article","Threats and Threatening Messages"
