RC-PAIN RELIEVERS - PAST YEAR MISUSE,Values,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,Overall,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Grand Total
0 - Did not misuse in the past year,Total %,0.2%,1.4%,0.9%,2.1%,11.6%,1.7%,1.1%,0.2%,0.3%,6.4%,3.1%,0.4%,0.9%,0.5%,3.8%,2.0%,0.8%,1.3%,1.3%,2.1%,1.8%,0.4%,3.0%,1.7%,1.8%,0.9%,0.3%,3.1%,0.2%,0.6%,0.4%,2.7%,0.6%,0.9%,5.9%,3.4%,1.1%,1.2%,96.4%,3.8%,0.3%,1.5%,0.3%,2.0%,8.2%,0.9%,2.5%,0.2%,2.2%,1.7%,0.5%,0.2%,192.8%
,Total % SE,0.0%,0.1%,0.0%,0.2%,0.2%,0.1%,0.1%,0.0%,0.0%,0.2%,0.1%,0.0%,0.0%,0.0%,0.1%,0.1%,0.0%,0.1%,0.1%,0.1%,0.1%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.2%,0.1%,0.1%,0.0%,0.1%,0.1%,0.0%,0.1%,0.0%,0.1%,0.2%,0.0%,0.1%,0.0%,0.1%,0.1%,0.0%,0.0%,3.4%
, Weighted Count ," 560,000 "," 3,882,000 "," 2,412,000 "," 5,800,000 "," 31,880,000 "," 4,586,000 "," 2,965,000 "," 574,000 "," 794,000 "," 17,581,000 "," 8,425,000 "," 1,107,000 "," 2,517,000 "," 1,394,000 "," 10,420,000 "," 5,383,000 "," 2,290,000 "," 3,549,000 "," 3,658,000 "," 5,779,000 "," 4,886,000 "," 1,134,000 "," 8,160,000 "," 4,542,000 "," 4,942,000 "," 2,345,000 "," 858,000 "," 8,421,000 "," 597,000 "," 1,546,000 "," 1,144,000 "," 7,316,000 "," 1,683,000 "," 2,457,000 "," 16,131,000 "," 9,419,000 "," 3,105,000 "," 3,409,000 "," 264,651,000 "," 10,548,000 "," 882,000 "," 4,140,000 "," 701,000 "," 5,511,000 "," 22,645,000 "," 2,450,000 "," 6,839,000 "," 528,000 "," 6,077,000 "," 4,723,000 "," 1,493,000 "," 467,000 "," 529,306,000 "
, Count SE ," 18,000 "," 170,000 "," 95,000 "," 412,000 "," 654,000 "," 239,000 "," 132,000 "," 28,000 "," 43,000 "," 525,000 "," 311,000 "," 58,000 "," 119,000 "," 60,000 "," 300,000 "," 201,000 "," 103,000 "," 164,000 "," 189,000 "," 215,000 "," 204,000 "," 48,000 "," 198,000 "," 194,000 "," 189,000 "," 90,000 "," 28,000 "," 335,000 "," 25,000 "," 60,000 "," 47,000 "," 271,000 "," 84,000 "," 120,000 "," 419,000 "," 257,000 "," 148,000 "," 108,000 "," 1,612,000 "," 311,000 "," 42,000 "," 206,000 "," 39,000 "," 264,000 "," 635,000 "," 93,000 "," 278,000 "," 25,000 "," 258,000 "," 224,000 "," 73,000 "," 19,000 "," 10,940,000 "
1 - Misused within the past year,Total %,0.0%,0.1%,0.0%,0.1%,0.4%,0.1%,0.0%,0.0%,0.0%,0.3%,0.1%,0.0%,0.0%,0.0%,0.1%,0.1%,0.0%,0.1%,0.1%,0.1%,0.1%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.2%,0.1%,0.0%,0.1%,3.6%,0.1%,0.0%,0.1%,0.0%,0.1%,0.3%,0.0%,0.1%,0.0%,0.1%,0.1%,0.0%,0.0%,7.1%
,Total % SE,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%
, Weighted Count ," 25,000 "," 219,000 "," 87,000 "," 242,000 "," 1,231,000 "," 220,000 "," 95,000 "," 24,000 "," 28,000 "," 712,000 "," 308,000 "," 49,000 "," 115,000 "," 64,000 "," 252,000 "," 204,000 "," 95,000 "," 170,000 "," 163,000 "," 168,000 "," 174,000 "," 32,000 "," 328,000 "," 164,000 "," 174,000 "," 108,000 "," 40,000 "," 305,000 "," 22,000 "," 38,000 "," 36,000 "," 210,000 "," 65,000 "," 105,000 "," 440,000 "," 406,000 "," 129,000 "," 182,000 "," 9,836,000 "," 330,000 "," 28,000 "," 149,000 "," 17,000 "," 188,000 "," 820,000 "," 91,000 "," 242,000 "," 18,000 "," 273,000 "," 197,000 "," 42,000 "," 12,000 "," 19,672,000 "
, Count SE ," 3,000 "," 36,000 "," 12,000 "," 30,000 "," 104,000 "," 52,000 "," 17,000 "," 4,000 "," 6,000 "," 73,000 "," 38,000 "," 9,000 "," 16,000 "," 9,000 "," 28,000 "," 30,000 "," 13,000 "," 23,000 "," 23,000 "," 23,000 "," 33,000 "," 6,000 "," 34,000 "," 23,000 "," 28,000 "," 17,000 "," 7,000 "," 38,000 "," 5,000 "," 5,000 "," 7,000 "," 29,000 "," 10,000 "," 15,000 "," 42,000 "," 40,000 "," 22,000 "," 24,000 "," 216,000 "," 35,000 "," 5,000 "," 25,000 "," 3,000 "," 31,000 "," 79,000 "," 13,000 "," 29,000 "," 3,000 "," 41,000 "," 33,000 "," 6,000 "," 2,000 "," 1,455,000 "
Overall,Total %,0.2%,1.5%,0.9%,2.2%,12.1%,1.8%,1.1%,0.2%,0.3%,6.7%,3.2%,0.4%,1.0%,0.5%,3.9%,2.0%,0.9%,1.4%,1.4%,2.2%,1.8%,0.4%,3.1%,1.7%,1.9%,0.9%,0.3%,3.2%,0.2%,0.6%,0.4%,2.7%,0.6%,0.9%,6.0%,3.6%,1.2%,1.3%,100.0%,4.0%,0.3%,1.6%,0.3%,2.1%,8.5%,0.9%,2.6%,0.2%,2.3%,1.8%,0.6%,0.2%,200.1%
,Total % SE,0.0%,0.1%,0.0%,0.2%,0.2%,0.1%,0.1%,0.0%,0.0%,0.2%,0.1%,0.0%,0.0%,0.0%,0.1%,0.1%,0.0%,0.1%,0.1%,0.1%,0.1%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.1%,0.0%,0.1%,0.2%,0.1%,0.1%,0.0%,0.0%,0.1%,0.0%,0.1%,0.0%,0.1%,0.2%,0.0%,0.1%,0.0%,0.1%,0.1%,0.0%,0.0%,3.4%
