RC-PAIN RELIEVERS - PAST YEAR MISUSE,Values,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,Overall,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Grand Total
0 - Did not misuse in the past year,Total %,0.002,0.014,0.009,0.021,0.116,0.017,0.011,0.002,0.003,0.064,0.031,0.004,0.009,0.005,0.038,0.02,0.008,0.013,0.013,0.021,0.018,0.004,0.03,0.017,0.018,0.009,0.003,0.031,0.002,0.006,0.004,0.027,0.006,0.009,0.059,0.034,0.011,0.012,0.964,0.038,0.003,0.015,0.003,0.02,0.082,0.009,0.025,0.002,0.022,0.017,0.005,0.002,1.928
,Total % SE,0.0001,0.0006,0.0003,0.0015,0.0022,0.0009,0.0005,0.0001,0.0002,0.0019,0.0011,0.0002,0.0004,0.0002,0.0011,0.0007,0.0004,0.0006,0.0007,0.0008,0.0007,0.0002,0.0007,0.0007,0.0007,0.0003,0.0001,0.0012,0.0001,0.0002,0.0002,0.001,0.0003,0.0004,0.0015,0.0009,0.0005,0.0004,0.0008,0.0011,0.0002,0.0007,0.0001,0.001,0.0022,0.0003,0.001,0.0001,0.0009,0.0008,0.0003,0.0001,0.0342
,Weighted Count,560000,3882000,2412000,5800000,31880000,4586000,2965000,574000,794000,17581000,8425000,1107000,2517000,1394000,10420000,5383000,2290000,3549000,3658000,5779000,4886000,1134000,8160000,4542000,4942000,2345000,858000,8421000,597000,1546000,1144000,7316000,1683000,2457000,16131000,9419000,3105000,3409000,264651000,10548000,882000,4140000,701000,5511000,22645000,2450000,6839000,528000,6077000,4723000,1493000,467000,529306000
,Count SE,18000,170000,95000,412000,654000,239000,132000,28000,43000,525000,311000,58000,119000,60000,300000,201000,103000,164000,189000,215000,204000,48000,198000,194000,189000,90000,28000,335000,25000,60000,47000,271000,84000,120000,419000,257000,148000,108000,1612000,311000,42000,206000,39000,264000,635000,93000,278000,25000,258000,224000,73000,19000,10940000
1 - Misused within the past year,Total %,0,0.001,0,0.001,0.004,0.001,0,0,0,0.003,0.001,0,0,0,0.001,0.001,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0,0.001,0,0,0,0.001,0,0,0.002,0.001,0,0.001,0.036,0.001,0,0.001,0,0.001,0.003,0,0.001,0,0.001,0.001,0,0,0.071
,Total % SE,0,0.0001,0,0.0001,0.0004,0.0002,0.0001,0,0,0.0003,0.0001,0,0.0001,0,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0001,0.0001,0,0.0001,0,0,0,0.0001,0,0.0001,0.0002,0.0001,0.0001,0.0001,0.0008,0.0001,0,0.0001,0,0.0001,0.0003,0,0.0001,0,0.0001,0.0001,0,0,0.0049
,Weighted Count,25000,219000,87000,242000,1231000,220000,95000,24000,28000,712000,308000,49000,115000,64000,252000,204000,95000,170000,163000,168000,174000,32000,328000,164000,174000,108000,40000,305000,22000,38000,36000,210000,65000,105000,440000,406000,129000,182000,9836000,330000,28000,149000,17000,188000,820000,91000,242000,18000,273000,197000,42000,12000,19672000
,Count SE,3000,36000,12000,30000,104000,52000,17000,4000,6000,73000,38000,9000,16000,9000,28000,30000,13000,23000,23000,23000,33000,6000,34000,23000,28000,17000,7000,38000,5000,5000,7000,29000,10000,15000,42000,40000,22000,24000,216000,35000,5000,25000,3000,31000,79000,13000,29000,3000,41000,33000,6000,2000,1455000
Overall,Total %,0.002,0.015,0.009,0.022,0.121,0.018,0.011,0.002,0.003,0.067,0.032,0.004,0.01,0.005,0.039,0.02,0.009,0.014,0.014,0.022,0.018,0.004,0.031,0.017,0.019,0.009,0.003,0.032,0.002,0.006,0.004,0.027,0.006,0.009,0.06,0.036,0.012,0.013,1,0.04,0.003,0.016,0.003,0.021,0.085,0.009,0.026,0.002,0.023,0.018,0.006,0.002,2.001
,Total % SE,0.0001,0.0007,0.0003,0.0015,0.0023,0.0009,0.0005,0.0001,0.0002,0.0019,0.0011,0.0002,0.0004,0.0002,0.0011,0.0008,0.0004,0.0006,0.0007,0.0008,0.0008,0.0002,0.0007,0.0007,0.0007,0.0004,0.0001,0.0012,0.0001,0.0002,0.0002,0.001,0.0003,0.0005,0.0015,0.0009,0.0006,0.0004,0,0.0011,0.0002,0.0008,0.0001,0.001,0.0022,0.0003,0.001,0.0001,0.0009,0.0008,0.0003,0.0001,0.0342
,Weighted Count,585000,4101000,2499000,6042000,33110000,4806000,3060000,598000,822000,18293000,8732000,1156000,2632000,1458000,10672000,5586000,2384000,3719000,3821000,5947000,5059000,1166000,8488000,4706000,5116000,2453000,898000,8726000,619000,1584000,1180000,7526000,1747000,2561000,16572000,9825000,3234000,3591000,274487000,10878000,910000,4289000,718000,5699000,23465000,2540000,7081000,546000,6350000,4920000,1534000,479000,548970000
,Count SE,20000,183000,93000,425000,679000,245000,137000,29000,45000,544000,317000,59000,119000,61000,299000,209000,103000,168000,200000,212000,209000,50000,201000,192000,192000,96000,30000,344000,26000,60000,47000,278000,87000,126000,424000,260000,152000,108000,1650000,319000,43000,210000,41000,267000,649000,93000,284000,25000,262000,226000,74000,19000,11191000
