"Fluid milk: Per capita availability, gallons",,,,,,,,,,,,,,,,,,,Filename:  DYFLUID,
Year,"U.S. population, July 11",Whole milk,,,,,Lower fat and skim milk,,,,,,,,,Other beverage milk,,,"Total 
beverage
fluid milk 
sales3","Total 
beverage
fluid milk 
availability3"
,,Plain,,,Flavored2,"Total plain 
and 
flavored2",Plain,,,"Flavored, 
other than whole2","Total plain 
and 
flavored2",Buttermilk,Skim milk,Skim milk and buttermilk consumed where produced,Total lower fat and skim milk2,Eggnog3,Miscellaneous,"Total other beverage
 milk3",,
,,Consumed where produced,Sales,Total plain,,,2 percent,1 percent,Total plain,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,--- Millions ----,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- Gallons --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
1909,90.49,12.4,14.3,26.7,0.2,26.8,NA,NA,NA,0.1,0.1,0.3,0.1,6.8,7.3,*,NA,NA,15,34.1
1910,92.407,12.2,12.9,25,0.1,25.2,NA,NA,NA,0.1,0.1,0.3,0.1,6.5,7.1,*,NA,NA,13.5,32.2
1911,93.863,12,12.2,24.2,0.1,24.4,NA,NA,NA,0.1,0.1,0.2,0.1,6.4,6.9,*,NA,NA,12.8,31.3
1912,95.335,11.9,15.5,27.4,0.2,27.6,NA,NA,NA,0.1,0.1,0.3,0.2,6.3,6.9,*,NA,NA,16.3,34.4
1913,97.225,11.6,14.6,26.3,0.2,26.4,NA,NA,NA,0.1,0.1,0.3,0.2,6.1,6.7,*,NA,NA,15.4,33.1
1914,99.111,11.7,12.9,24.5,0.2,24.7,NA,NA,NA,0.1,0.1,0.3,0.1,5.9,6.4,*,NA,NA,13.5,31.1
1915,100.546,11.2,11.4,22.6,0.1,22.8,NA,NA,NA,0.1,0.1,0.2,0.1,5.8,6.2,*,NA,NA,12,29
1916,101.961,11,10.8,21.8,0.1,21.9,NA,NA,NA,0.1,0.1,0.2,0.1,5.7,6.1,*,NA,NA,11.3,28
1917,103.268,10.7,12.8,23.5,0.2,23.7,NA,NA,NA,0.1,0.1,0.3,0.1,5.5,6,*,NA,NA,13.5,29.7
1918,103.208,10.6,17.1,27.7,0.2,27.9,NA,NA,NA,0.1,0.1,0.3,0.2,5.5,6.2,*,NA,NA,18,34
1919,104.514,10.2,14.1,24.3,0.2,24.5,NA,NA,NA,0.1,0.1,0.3,0.1,5.4,5.9,*,NA,NA,14.8,30.4
1920,106.461,10.7,17.2,27.9,0.2,28.1,NA,NA,NA,0.1,0.1,0.3,0.2,5.3,5.9,*,NA,NA,18.1,34
