"skill_name","n"
"",5
"$100000  $150000 Salary Range",1
"$20M+ Annual Sales Quota",1
"$30.25  $45.41 per hour",1
"$3040 Hourly Pay",1
"$44/hr to $48/hr",1
"$45500 $48500 (potentially higher based on work experience)",1
"$5560/hr contracttocontract",1
"$6000.00 signon bonus",1
"$74476.00  $100000.00 Annual Rate",1
"'Big Data' Data Pipelines",1
"'Big Data' Data Stores",1
"'Big data' data stores",1
"(Deep) Neural Networks",1
"* 10 years of experience",1
"* 57 Years of Experience",1
"* 8+ Years of Experience",1
"* AWS",2
"* Ability to Work in the United States",1
"* Access Points",1
"* Actionable Targets",1
"* Active Directory",1
"* Administrative Assistance",1
"* Agile",2
"* Airflow",1
"* Algorithm Selection",1
"* Analytical Data",1
"* Analytical Thinking",2
"* Artificial Intelligence",1
"* Asana",1
"* Asset Tagging",1
"* Associate's Degree in Related Field",1
"* Attention to Detail",1
"* Audit Findings",1
"* Automation",1
"* Azure",1
"* Azure Dev Ops",1
"* Azure cloud services",1
"* Bachelor's Degree in Engineering Technology or Science",1
"* Bachelor’s Degree",1
"* Backup and Recovery",1
"* BehaviorDriven Development",1
"* Big Data",1
"* Biology",1
"* Bitbucket",1
"* Breakfix",1
"* Business Intelligence",1
"* Business Problem Modeling",1
"* CPG",1
"* Cassandra",1
"* Chart Audits",1
"* Chart Corrections",1
"* CircleCI",1
"* Claim Processes",1
"* Clean Room/Dry Room",1
"* Clinical Experience",1
"* Cloud Computing",1
"* Cloud Pipelines",1
"* Collaboration",1
"* Commercial Analytics",1
"* Communication",1
"* Communication Skills",2
"* Computer Engineering",1
"* Computer Science",1
"* Construction Management",1
"* Continuous Delivery",1
"* Continuous Deployment",1
"* Continuous Integration",1
"* Customer Service Skills",1
"* Dashboard",1
"* Data Analysis",2
"* Data Center/Mission Critical",1
"* Data Cleaning",1
"* Data Engineering",1
"* Data Entry",1
"* Data Entry and Management",1
"* Data Governance",1
"* Data Handling",1
"* Data Integrity",1
"* Data Interpretation",1
"* Data Lake",1
"* Data Management",1
"* Data Mart",1
"* Data Mining",1
"* Data Pipeline",1
"* Data Preparation",1
"* Data Quality",2
"* Data Science",3
"* Data Security",1
"* Data Upload Troubleshooting",1
"* Data Visualization",1
"* Data Warehouse",1
"* Data Wrangling",1
"* Data and Root Cause Analysis",1
"* Databases",2
"* Databricks",1
"* Deep Learning",3
"* Deployment",1
"* DevOps",1
"* Diagnostic Disease Signatures",1
"* Disease Outcomes",1
"* Distributed Systems",1
"* Docker",2
"* Drug Development",1
"* DynamoDB",1
"* EEG",1
"* EKG",1
"* EMR",1
"* EMR System (KP Health Connect)",1
"* ETL",1
"* Easygoing Personality",1
"* ElasticSearch",1
"* Electrical Engineering",1
"* Electronic Engineering",1
"* Electronic Health Records (EHRs)",1
"* Encounter",1
"* English",1
"* Error Trends",1
"* Excellent Customer Service",1
"* Extreme Programming",1
